@relation emotions

@attribute Engagement real
@attribute Excitement real
@attribute Stress real
@attribute Relaxation real
@attribute Interest real
@attribute Focus real 
@attribute Taste {1, 2, 3, 4, 5}

@data
0.537612,0.670731,0.38923,0.374711,0.317745,0.44807,1
0.419285,0.586663,0.341174,0.363592,0.357048,0.318425,1
0.362642,0.685693,0.383251,0.391,0.328478,0.338869,1
0.292875,0.677914,0.499407,0.477151,0.334195,0.177479,1
0.278475,0.689533,0.59488,0.59139,0.351229,0.150528,1
0.374863,0.622001,0.47435,0.545725,0.344991,0.201634,1
0.344916,0.631595,0.344521,0.385688,0.343534,0.099174,1
0.344634,0.344739,0.458277,0.521094,0.379075,0.186271,2
0.365004,0.37841,0.379993,0.417858,0.378581,0.171368,2
0.412777,0.665218,0.437573,0.50786,0.384285,0.295853,2
0.370566,0.698021,0.413773,0.482624,0.389561,0.337362,2
0.537378,0.706999,0.453152,0.532967,0.409587,0.437601,3
0.437509,0.688937,0.46148,0.494197,0.400546,0.246713,3
0.443433,0.654286,0.351838,0.435156,0.404113,0.260319,3
0.406156,0.699102,0.379245,0.494839,0.408892,0.219341,3
0.633049,0.394809,0.331345,0.51558,0.42217,0.353573,4
0.530318,0.644977,0.362865,0.46247,0.421343,0.270058,4
0.559693,0.679838,0.489665,0.532085,0.422768,0.418656,4
0.602837,0.546267,0.410241,0.507636,0.427257,0.419673,4
0.598871,0.721902,0.476082,0.599274,0.438403,0.327111,5
0.538746,0.527757,0.357222,0.580157,0.446742,0.252309,5
0.66874,0.662426,0.383104,0.507059,0.440252,0.564844,5
0.667816,0.627863,0.301502,0.421516,0.445842,0.444824,5
0.374531,0.659393,0.196996,0.085219,0.466249,0.318525,1
0.206647,0.73198,0.235148,0.123896,0.504292,0.3124,1
0.481595,0.733033,0.209449,0.09821,0.47043,0.379022,1
0.390524,0.732178,0.147825,0.110854,0.423116,0.311147,1
0.336083,0.696522,0.127162,0.075558,0.413509,0.311878,1
0.380514,0.69542,0.188684,0.106603,0.475116,0.261646,1
0.285776,0.696872,0.144606,0.061804,0.45972,0.192173,1
0.370581,0.731976,0.193014,0.123322,0.431175,0.207469,1
0.425242,0.732008,0.20262,0.141248,0.439822,0.340885,2
0.360786,0.733578,0.199069,0.12951,0.431881,0.259929,2
0.444732,0.732104,0.204955,0.121067,0.450308,0.22187,2
0.369791,0.733835,0.16585,0.109882,0.453889,0.248282,2
0.287705,0.732332,0.131805,0.066818,0.482007,0.199559,2
0.318247,0.733867,0.169426,0.08908,0.441721,0.250879,2
0.29705,0.733586,0.236432,0.17442,0.442379,0.21517,3
0.394177,0.731874,0.329538,0.351708,0.438168,0.278234,3
0.280223,0.733246,0.268561,0.230988,0.449581,0.23015,3
0.253139,0.695027,0.224554,0.238579,0.4147,0.134112,3
0.380317,0.732902,0.237884,0.182507,0.422752,0.241147,3
0.361994,0.6213,0.186851,0.122326,0.420381,0.172565,3
0.212245,0.733364,0.120613,0.051433,0.498043,0.112822,4
0.219336,0.695791,0.11337,0.04086,0.528213,0.083438,4
0.340244,0.73358,0.195452,0.140222,0.496402,0.233352,4
0.35974,0.732793,0.297266,0.27599,0.433694,0.249228,4
0.446877,0.733773,0.242768,0.178907,0.444428,0.3117,4
0.357126,0.732796,0.295459,0.238819,0.426148,0.206662,4
0.384477,0.687185,0.298184,0.242491,0.434646,0.207314,5
0.319112,0.470014,0.295415,0.251392,0.408888,0.184992,5
0.474312,0.647748,0.284848,0.244323,0.414392,0.393752,5
0.31581,0.605593,0.285388,0.213324,0.416049,0.222904,5
0.490929,0.727689,0.302095,0.289625,0.405321,0.302595,5
0.449679,0.545931,0.347937,0.451604,0.482407,0.370797,1
0.323559,0.500116,0.282367,0.268676,0.466369,0.310443,1
0.533895,0.72783,0.431757,0.391897,0.53565,0.297061,1
0.341316,0.710793,0.336627,0.341275,0.464735,0.326121,1
0.318147,0.459341,0.383605,0.432412,0.504774,0.172758,1
0.364117,0.243633,0.320481,0.368732,0.504111,0.148551,1
0.476354,0.561099,0.327831,0.398435,0.57345,0.380411,1
0.426728,0.727369,0.378279,0.456731,0.585865,0.277875,1
0.503355,0.72571,0.379413,0.486957,0.541129,0.345866,1
0.551635,0.724989,0.445412,0.454442,0.668749,0.294929,2
0.630322,0.519279,0.358073,0.435781,0.658659,0.289998,2
0.708714,0.611154,0.432918,0.518739,0.556744,0.459409,2
0.633827,0.689265,0.432486,0.451345,0.554153,0.573011,2
0.540047,0.723643,0.401165,0.348957,0.517757,0.634084,2
0.684729,0.722488,0.40784,0.397773,0.493994,0.585718,2
0.665344,0.685229,0.424892,0.529487,0.641836,0.380465,2
0.444671,0.613338,0.304076,0.423995,0.660531,0.33451,2
0.661042,0.719338,0.318498,0.285313,0.537447,0.411383,4
0.575001,0.718889,0.458182,0.446909,0.600564,0.339967,4
0.543128,0.706556,0.324368,0.301479,0.435467,0.367423,4
0.510356,0.699916,0.414819,0.332796,0.419092,0.432707,4
0.504952,0.618114,0.361226,0.307967,0.41269,0.333879,4
0.343081,0.695341,0.312956,0.283896,0.398158,0.186988,4
0.365967,0.607491,0.275818,0.20019,0.359259,0.205097,3
0.564676,0.614605,0.386064,0.383577,0.544329,0.38062,3
0.494601,0.713737,0.462613,0.422903,0.636278,0.264618,3
0.460689,0.710144,0.378825,0.262854,0.442628,0.346869,3
